GrPetYear,pe,pb,peg,shr,revenue,opInm,eps,Assets,Equity,bvps,ROtA,5ROtA,10ROtA,bad5y,bad10y,Industrial,cur,old
000039.SZ,13.84,0.87,-0.46,6.41,10.45,9.74,2.46,8.06,7.91,7.44,3.31,3.08,2.61,1,1,,CNY,2013
000040.KS,-2.92,1.85,0.35,19.13,1.82,3.2,-8.87,2.74,-5.91,-4.96,-8.76,-13.94,-13.43,5,9,,KRW,2013
000040.SZ,-27.1,0.56,-0.56,13.7,15.73,15.34,0.0,22.97,27.53,24.21,-1.24,-1.51,0.02,4,4,,CNY,2013
000042.SZ,470.85,0.67,-5.46,3.71,13.8,10.97,-36.86,18.44,11.41,11.0,0.02,0.65,1.42,2,3,,CNY,2013
000045.SZ,57.89,1.98,0.64,1.15,10.76,0.0,8.59,7.82,2.42,2.39,2.01,0.59,-0.0,2,4,,CNY,2013
000046.SZ,-0.4,-0.85,0.25,1.47,9.0,-8.63,0.0,11.12,0.0,0.0,-12.82,-5.3,-1.62,2,3,,CNY,2013
000048.SZ,4.74,2.64,0.05,0.01,16.09,0.0,0.0,33.18,23.15,23.14,4.42,8.31,5.45,1,4,,CNY,2013
000049.SZ,13.32,2.51,1.47,0.09,19.42,12.54,17.21,15.69,25.38,25.36,7.1,6.92,6.17,0,0,,CNY,2013
000050.KS,-16.83,0.33,0.21,0.54,1.28,-7.37,-12.91,-0.42,1.92,1.91,0.35,1.59,1.55,1,1,,KRW,2013
000050.SZ,-36.52,0.79,-0.08,16.01,24.05,20.38,-16.1,29.37,39.67,34.2,0.14,1.42,2.14,1,1,,CNY,2013
000055.SZ,15.67,0.84,0.66,3.79,9.16,16.38,10.03,19.32,19.46,18.75,2.23,6.32,6.57,3,6,,CNY,2013
000056.SZ,-3.56,2.11,0.08,3.94,38.53,0.0,0.0,2.94,-0.7,-0.67,-12.15,-5.02,0.32,3,4,,CNY,2013
000058.SZ,320.76,3.92,-5.41,5.14,12.42,9.13,-8.05,10.67,4.93,4.69,0.77,0.93,1.93,2,3,,CNY,2013
000059.SZ,-51.15,0.73,1.16,3.26,1.86,10.21,0.0,1.54,8.08,7.82,1.68,2.55,2.02,1,2,,CNY,2013
000060.SZ,15.27,1.23,0.0,3.79,11.31,13.04,10.59,9.48,9.85,9.49,4.41,4.97,4.4,0,1,,CNY,2013
000063.SZ,23.85,3.32,1.46,1.38,5.61,28.35,20.26,6.8,11.21,11.06,4.72,2.08,1.88,1,2,,CNY,2013
000065.SZ,19.52,1.97,-1.13,6.2,18.31,24.07,10.44,20.96,28.71,27.04,3.11,4.54,4.25,0,0,,CNY,2013
000066.SZ,-4563.35,3.4,71.02,10.02,-17.34,0.0,13.99,-1.62,19.83,18.03,0.69,3.54,2.19,1,5,,CNY,2013
000068.SZ,-12.25,165.36,0.13,1.3,4.88,3.64,20.96,24.69,-14.95,-14.76,-5.56,-3.5,-5.03,4,6,,CNY,2013
000069.SZ,-2.75,0.53,0.01,1.35,11.79,1.0,0.0,18.11,12.5,12.33,-3.35,1.61,3.18,1,2,,CNY,2013
000070.KS,6.49,0.3,-0.12,0.83,4.01,55.62,0.0,6.43,3.69,3.66,2.53,3.29,1.89,0,3,,KRW,2013
000070.SZ,235.86,4.23,2.17,1.53,11.51,15.15,-2.92,14.91,6.48,6.38,0.75,0.56,1.91,1,3,,CNY,2013
000075.KS,4.85,0.23,-0.09,0.83,4.01,55.62,0.0,6.43,3.69,3.66,2.53,3.29,1.89,0,3,,KRW,2013
000078.SZ,-8.84,1.83,0.02,4.44,18.86,14.92,0.0,18.25,13.32,12.75,-2.92,0.06,1.1,2,3,,CNY,2013
000080.KS,20.09,1.29,0.95,0.49,3.1,1.89,0.75,-0.71,-1.93,-1.92,2.73,1.38,1.31,2,2,,KRW,2013
000087.KS,15.66,1.01,0.74,0.49,3.1,1.89,0.75,-0.71,-1.93,-1.92,2.73,1.38,1.31,2,2,,KRW,2013
000088.SZ,22.03,1.09,-4.63,0.7,11.16,17.93,0.94,12.71,7.99,7.93,2.96,3.43,4.68,0,0,,CNY,2013
000089.SZ,-15.59,1.38,0.0,0.28,0.53,0.0,0.0,8.7,3.57,3.56,-4.54,1.0,2.57,3,3,,CNY,2013
000090.SZ,7.51,0.67,7.21,5.82,21.72,27.03,13.37,24.27,16.91,15.98,2.88,2.96,2.96,0,0,,CNY,2013
000096.SZ,75.82,1.66,-3.29,0.27,10.31,0.0,-2.87,3.33,3.73,3.72,2.16,3.62,5.17,0,3,,CNY,2013
000099.SZ,46.82,1.61,-1.44,4.37,4.72,4.96,-4.29,5.96,8.17,7.82,3.05,3.44,3.37,0,1,,CNY,2013
000100.KS,40.76,2.06,-6.06,0.98,7.28,6.22,0.29,5.6,5.48,5.43,4.07,4.25,5.26,1,1,,KRW,2013
000100.SZ,-172.57,1.55,1.96,6.93,7.7,21.99,-7.77,18.51,15.21,14.23,0.54,2.37,2.35,1,2,,CNY,2013
000105.KS,38.82,1.96,-5.78,19.88,7.28,6.22,-15.84,5.6,5.48,4.57,4.07,4.25,5.26,1,1,,KRW,2013
000120.KS,7.78,0.42,0.14,-0.32,13.78,22.94,0.0,8.61,5.43,5.45,2.14,1.42,1.04,1,1,,KRW,2013
000140.KS,3.3,0.35,0.36,-0.24,2.77,2.1,0.0,-0.86,-0.49,-0.49,2.23,1.3,0.22,2,4,,KRW,2013
000145.KS,4.43,0.46,0.55,-0.14,2.77,2.1,0.0,-0.86,-0.49,-0.49,2.23,1.23,0.18,2,5,,KRW,2013
000150.KS,-2.92,0.65,0.01,-1.03,-2.8,-8.79,0.0,-1.86,-5.71,-5.76,-2.7,-1.32,-0.63,3,5,,KRW,2013
000150.SZ,-1.02,-0.52,-0.03,3.51,3.39,-27.03,0.0,4.67,0.0,0.0,-12.65,-15.09,-5.06,4,4,,CNY,2013
000151.SZ,-8.36,6.4,0.01,1.48,11.74,-8.65,0.0,6.93,-3.54,-3.49,-10.98,-4.2,0.13,2,2,,CNY,2013
000153.SZ,19.52,1.8,0.76,0.65,11.28,16.45,20.51,9.46,6.11,6.07,3.66,2.89,2.39,0,0,,CNY,2013
000155.KS,-1.71,0.38,0.01,-1.03,-2.8,-8.79,0.0,-1.86,-5.71,-5.76,-2.7,-1.2,-0.57,2,5,,KRW,2013
000155.SZ,15.32,3.81,0.18,13.61,8.59,0.0,0.0,23.32,24.75,21.78,8.79,5.16,-16.18,0,3,,CNY,2013
000156.SZ,20.07,1.09,-1.64,5.34,20.13,12.95,7.2,20.44,26.03,24.71,3.05,3.87,4.59,0,0,,CNY,2013
000157.KS,-17.48,3.92,0.0,-100.0,-2.8,-8.79,-100.0,-1.86,-5.71,-5.71,-2.7,-1.2,-0.57,2,5,,KRW,2013
000157.SZ,24.6,1.0,-0.38,1.19,0.86,-1.93,-6.62,3.64,3.09,3.06,1.99,4.3,2.74,1,3,,CNY,2013
000158.SZ,-56.68,2.17,0.2,5.93,5.72,0.0,0.0,12.42,10.4,9.82,-1.69,0.52,1.31,1,3,,CNY,2013
000159.SZ,11.16,1.31,0.01,-0.0,4.67,15.09,26.66,0.35,2.28,2.28,13.45,4.27,2.81,2,5,,CNY,2013
000166.SZ,30.35,1.19,-0.43,12.17,14.45,-100.0,-6.8,27.1,19.98,17.81,0.46,1.26,1.85,1,1,,CNY,2013
000180.KS,-6.06,0.22,0.02,1.13,4.68,19.95,12.06,10.87,9.96,9.85,-1.6,-0.35,0.05,3,5,,KRW,2013
0001.HK,0.0,0.0,0.0,-100.0,35.53,0.04,-100.0,11.57,4.04,4.04,4.98,4.72,6.0,0,0,,HKD,2013
000210.KS,-19.36,0.21,0.21,4.35,-6.91,24.29,0.0,1.34,-1.64,-1.57,0.83,4.44,2.52,2,4,,KRW,2013
000215.KS,-11.63,0.12,0.13,-13.83,-6.91,24.29,0.0,1.34,-1.64,-1.9,0.83,4.44,2.52,2,4,,KRW,2013
000220.KS,-21.59,0.74,0.06,6.82,9.38,-17.05,0.0,9.16,5.95,5.57,-2.31,1.06,0.67,2,4,,KRW,2013
000225.KS,-44.71,1.53,0.0,-100.0,9.38,-17.05,-100.0,9.16,5.95,5.95,-2.31,1.06,0.67,2,4,,KRW,2013
000227.KS,-95.55,3.27,0.0,-100.0,9.38,-17.05,-100.0,9.16,5.95,5.95,-2.31,1.06,0.67,2,4,,KRW,2013
000230.KS,-1.06,-33.2,0.02,4.36,6.14,0.0,0.0,3.59,-30.83,-29.54,-26.17,-11.23,-5.19,3,4,,KRW,2013
000240.KS,7.2,0.29,-0.44,5.48,36.62,25.33,-4.82,6.93,6.06,5.74,3.87,4.54,5.72,0,0,,KRW,2013
000270.KS,5.39,0.87,0.39,-0.11,6.87,9.57,4.07,8.23,7.65,7.66,7.64,4.69,5.58,0,3,,KRW,2013
0002.HK,100.58,1.37,-1.22,0.0,-0.42,-1.14,-14.44,1.22,2.53,2.53,0.7,3.92,5.27,1,2,,HKD,2013
000300.KS,-3.84,1.94,0.0,3.57,2.66,10.16,0.0,-1.79,-5.65,-5.45,-4.68,-0.93,-0.81,2,6,,KRW,2013
000301.SZ,133.99,2.11,-1.52,21.11,58.22,32.45,-11.49,52.8,31.87,26.32,0.34,2.69,4.23,2,2,,CNY,2013
000320.KS,3.06,0.28,0.01,0.33,6.02,7.8,2.78,3.6,4.4,4.39,2.96,1.6,2.59,1,3,,KRW,2013
000325.KS,6.11,0.56,0.03,0.33,6.02,7.8,2.78,3.6,4.4,4.39,2.96,1.6,2.59,1,3,,KRW,2013
000333.SZ,12.94,2.58,3.17,4.47,12.34,16.99,15.85,17.77,17.75,16.99,7.84,8.69,8.66,0,0,,CNY,2013
000338.SZ,19.58,1.48,-0.4,0.84,13.0,5.71,2.72,15.78,11.39,11.29,1.99,4.45,4.05,1,2,,CNY,2013
000370.KS,1.94,0.15,0.01,10.15,4.67,0.0,0.0,9.51,-12.39,-11.25,1.24,0.41,0.44,1,3,,KRW,2013
000390.KS,30.92,0.51,0.09,0.01,2.91,-8.34,-17.21,2.37,1.96,1.96,0.97,0.5,2.38,2,6,,KRW,2013
0003.HK,19.0,1.89,5.13,-0.01,8.92,4.07,-3.05,-100.0,4.67,4.67,3.33,-29.55,-79.83,1,6,,HKD,2013
000400.KS,-84.83,0.39,0.55,16.78,2.02,0.0,0.0,14.61,6.03,5.17,-0.35,0.09,0.16,3,4,,KRW,2013
000400.SZ,26.04,2.2,6.25,3.54,8.51,2.9,0.63,9.62,11.39,11.0,4.18,3.49,5.01,1,1,,CNY,2013
000401.SZ,29.94,0.65,-0.37,7.97,9.15,8.49,7.96,4.13,11.1,10.28,2.45,6.27,2.83,2,5,,CNY,2013
000402.SZ,-27.74,0.36,0.45,0.04,0.34,-0.43,-15.54,8.08,6.09,6.09,0.42,1.45,2.15,1,2,,CNY,2013
000403.SZ,26.98,2.09,0.59,3.68,19.67,19.44,22.05,23.58,41.59,40.11,11.52,10.5,8.22,0,1,,CNY,2013
000404.SZ,10.35,1.27,0.24,1.78,7.71,8.1,9.21,7.86,7.18,7.05,3.4,1.89,2.23,1,3,,CNY,2013
000407.SZ,19.58,1.17,0.64,2.97,8.48,0.0,21.26,8.3,10.46,10.16,2.6,2.91,1.04,0,1,,CNY,2013
000408.SZ,6.26,3.12,0.02,22.65,51.7,0.0,54.61,42.0,58.61,47.78,42.9,14.45,7.95,2,5,,CNY,2013
000409.SZ,69.04,4.4,1.13,0.61,11.52,-3.81,-8.71,3.77,3.0,2.99,2.72,-2.16,-0.87,1,4,,CNY,2013
000410.SZ,-329.69,14.0,-3.27,7.45,-15.22,-15.26,-12.63,-15.47,-10.26,-9.55,0.31,-19.63,-10.63,3,4,,CNY,2013
000411.SZ,9.07,1.16,0.52,5.26,10.6,9.13,17.61,11.87,16.14,15.33,3.59,2.86,2.05,1,1,,CNY,2013
000413.SZ,-6.49,0.44,-0.18,11.26,22.74,11.28,0.0,23.09,16.29,14.64,-3.3,-2.67,0.8,4,4,,CNY,2013
000415.SZ,-13.43,0.49,0.12,10.38,19.6,17.88,0.0,18.52,14.21,12.87,-0.93,-0.57,0.34,3,3,,CNY,2013
000416.SZ,-44.1,1.3,0.14,0.02,-29.93,-0.85,0.0,-0.35,0.92,0.92,-3.23,1.4,2.31,1,2,,CNY,2013
000417.SZ,19.15,0.86,-2.04,0.0,-4.91,-2.91,-7.07,6.33,3.96,3.96,1.91,2.17,3.2,0,0,,CNY,2013
000419.SZ,23.87,0.95,2.98,-0.0,-7.52,5.89,-0.37,3.57,6.2,6.2,2.92,3.13,3.3,0,0,,CNY,2013
000420.SZ,-356.48,2.08,-9.26,13.11,11.35,0.0,-25.29,11.34,48.72,43.07,-0.84,-0.42,-0.94,3,4,,CNY,2013
000421.SZ,29.5,1.08,-0.61,5.68,17.5,0.0,-2.54,22.92,12.95,12.25,0.57,2.0,2.78,1,4,,CNY,2013
000422.SZ,5.74,2.13,0.15,0.05,0.8,8.88,46.83,-6.31,-2.93,-2.93,11.27,4.31,0.28,3,4,,CNY,2013
000423.SZ,35.35,3.0,0.45,-0.16,0.07,-4.07,-4.55,8.66,8.39,8.4,6.34,4.44,11.72,2,3,,CNY,2013
000425.SZ,17.87,1.44,-0.37,7.41,14.84,12.37,4.45,15.17,11.88,11.06,2.57,4.07,2.72,0,3,,CNY,2013
000426.SZ,141.42,3.23,-5.21,7.43,10.83,11.38,3.08,9.48,8.2,7.64,2.7,0.48,2.22,2,3,,CNY,2013
000428.SZ,-11.67,2.53,0.0,4.24,-13.69,0.0,0.0,-4.53,0.99,0.95,-7.74,-5.06,-2.69,3,4,,CNY,2013
000429.SZ,8.99,1.69,-0.36,5.49,13.56,33.68,27.17,5.34,8.83,8.37,8.96,9.29,6.92,0,2,,CNY,2013
000430.KS,13.43,0.8,0.02,0.0,0.15,-11.13,-5.54,-1.6,1.74,1.74,1.88,0.9,1.48,2,2,,KRW,2013
000430.SZ,-14.85,3.14,0.16,2.66,-13.73,0.0,0.0,18.89,10.97,10.69,-11.42,-4.01,2.58,3,4,,CNY,2013
000480.KS,20.13,0.99,0.32,28.93,-0.68,0.84,-21.78,4.05,2.49,1.93,2.56,2.93,2.66,0,0,,KRW,2013
000488.SZ,-123.01,0.71,1.35,8.43,5.14,21.82,-15.68,6.58,3.47,3.2,0.38,1.8,1.9,1,2,,CNY,2013
000490.KS,5.06,0.67,0.42,1.65,10.12,34.98,0.0,12.84,5.08,5.0,2.28,1.54,0.73,2,3,,KRW,2013
000498.SZ,4.76,0.72,0.47,3.93,27.78,33.12,23.07,30.45,23.78,22.88,2.45,2.44,2.79,0,0,,CNY,2013
0004.HK,0.0,0.0,0.0,-100.0,-6.12,-16.62,-100.0,-6.73,-6.42,-6.42,-0.65,1.51,4.1,1,3,,HKD,2013
000500.KS,5.74,0.28,0.06,0.9,5.2,-3.58,1.1,3.76,1.31,1.3,1.39,1.03,0.81,1,4,,KRW,2013
000501.SZ,29.33,0.7,-0.5,1.65,-10.29,-4.57,-6.14,10.39,15.76,15.51,1.31,4.46,5.17,1,1,,CNY,2013
000503.SZ,-134.16,15.85,-2.51,0.07,4.69,0.0,0.0,-2.81,-6.12,-6.12,-8.87,-12.57,-5.48,4,4,,CNY,2013
000504.SZ,-139.96,309.53,-22.57,-0.92,25.32,0.0,0.0,17.87,33.03,33.34,-5.47,-2.66,-5.08,3,6,,CNY,2013
000505.SZ,41.45,1.9,-1.29,5.76,56.73,0.0,22.76,19.4,43.76,41.38,2.53,3.5,0.92,0,2,,CNY,2013
000506.SZ,-44.35,6.05,-0.16,0.1,-12.34,0.0,2.92,-7.26,-10.04,-10.03,15.28,-3.01,-3.48,2,4,,CNY,2013
000507.SZ,11.35,0.78,5.68,2.13,16.87,39.44,17.33,20.41,11.4,11.16,2.54,2.55,2.15,0,1,,CNY,2013
000509.SZ,-1633.3,26.26,-3.18,17.45,13.99,0.0,-25.14,-1.8,3.8,3.23,1.2,-30.61,-17.21,2,3,,CNY,2013
000510.SZ,-85.05,2.59,0.89,-0.01,4.73,0.0,0.0,2.48,5.54,5.54,0.59,5.97,2.18,1,4,,CNY,2013
000513.SZ,17.74,2.41,2.41,1.16,11.83,16.01,15.05,15.95,17.13,16.93,7.98,7.73,9.83,0,0,,CNY,2013
000514.SZ,21.89,0.91,0.0,0.0,-0.34,21.29,2.67,-0.37,3.6,3.6,2.26,2.14,1.75,1,2,,CNY,2013
000516.SZ,-22.43,4.6,0.57,4.85,-3.0,0.0,0.0,15.55,14.27,13.61,-9.57,2.38,3.92,4,4,,CNY,2013
000518.SZ,-54.82,4.94,1.4,0.0,2.91,9.81,-3.09,-1.2,-2.11,-2.11,-7.71,-2.18,-2.82,3,5,,CNY,2013
000519.SZ,49.15,2.54,0.72,5.5,13.9,6.93,3.24,13.19,11.68,11.08,5.64,3.51,4.15,0,2,,CNY,2013
000520.KS,273.48,0.73,2.75,1.4,8.09,0.0,0.0,13.33,6.73,6.63,-0.01,-1.42,-0.99,2,4,,KRW,2013
000520.SZ,173.41,5.46,-2.78,4.61,-2.87,0.0,0.0,1.38,0.0,0.0,4.69,6.64,24.57,1,8,,CNY,2013
000521.SZ,21.0,1.43,0.11,3.42,7.51,10.02,-4.37,7.4,5.52,5.34,1.61,0.46,1.16,1,5,,CNY,2013
000523.SZ,-99.19,3.47,0.95,14.42,-5.36,3.98,0.0,-0.72,-0.85,-0.74,-3.13,-18.27,-8.58,1,1,,CNY,2013
000524.SZ,-71.62,3.53,2.25,10.67,14.06,0.0,0.0,16.4,13.8,12.47,-7.87,-2.23,1.16,3,3,,CNY,2013
000525.SZ,13.72,4.67,0.11,1.51,-1.34,39.65,6.2,-0.04,-10.33,-10.18,7.89,-6.97,-1.64,1,3,,CNY,2013
000526.SZ,245.12,6.94,2.42,2.27,77.71,0.0,0.0,36.15,12.22,11.94,0.41,-3.8,-2.96,1,4,,CNY,2013
000528.SZ,22.58,0.96,-0.58,3.15,8.62,6.62,3.41,7.43,5.94,5.76,1.48,2.94,1.92,0,2,,CNY,2013
000529.SZ,4.1,1.23,0.02,0.17,7.09,37.92,30.81,17.86,14.23,14.2,16.48,10.07,8.93,0,0,,CNY,2013
000530.SZ,77.19,1.5,0.73,2.51,7.29,14.84,-22.97,11.02,5.19,5.06,0.25,-0.12,1.95,1,3,,CNY,2013
000531.SZ,67.47,1.22,-0.61,2.05,2.03,-16.09,0.0,6.66,7.83,7.67,-0.12,2.24,3.79,3,3,,CNY,2013
000532.SZ,26.56,2.91,-1.06,0.0,12.91,24.5,11.86,9.49,7.42,7.42,6.25,5.38,4.39,1,0,,CNY,2013
000533.SZ,49.67,4.05,0.14,-0.18,-2.9,5.9,-12.95,-4.42,-5.9,-5.91,2.23,-7.77,-1.79,1,2,,CNY,2013
000534.SZ,58.26,5.77,5.53,0.07,-3.77,-9.2,-4.24,-2.99,-0.89,-0.89,4.82,3.68,3.32,1,2,,CNY,2013
000536.SZ,-3.66,1.38,0.01,6.09,-9.1,0.0,0.0,-0.43,5.7,5.38,-13.68,-10.97,-4.44,3,3,,CNY,2013
000537.SZ,32.17,1.45,0.22,15.33,9.73,16.19,-7.71,27.72,30.17,26.16,1.7,2.17,3.2,1,1,,CNY,2013
000538.SZ,26.68,2.32,-1.9,4.72,9.73,11.01,-1.75,17.1,17.49,16.7,5.71,8.15,11.27,0,1,,CNY,2013
000539.SZ,-10.62,1.94,0.0,0.11,6.13,0.0,0.0,7.62,0.67,0.67,-3.53,-0.26,1.48,2,3,,CNY,2013
000540.KS,1.04,0.14,0.01,0.0,0.27,26.72,31.2,8.72,10.6,10.6,1.06,0.48,0.43,1,2,,KRW,2013
000540.SZ,-0.14,-0.47,0.0,4.24,1.21,0.0,0.0,16.68,0.0,0.0,-13.74,-3.58,-0.01,2,2,,CNY,2013
000541.SZ,21.1,1.44,0.57,-0.19,14.81,7.24,4.05,18.28,6.68,6.69,2.42,4.17,6.86,0,3,,CNY,2013
000543.SZ,101.19,1.17,0.93,3.25,7.59,-12.2,-20.66,8.42,7.31,7.08,0.41,0.64,2.15,1,3,,CNY,2013
000544.SZ,15.46,1.07,-1.0,10.17,32.61,31.62,12.98,34.48,26.07,23.66,1.81,3.77,4.82,1,1,,CNY,2013
000545.KS,2.91,0.4,0.0,-100.0,0.27,26.72,-100.0,8.72,10.6,10.6,1.06,0.48,0.43,1,2,,KRW,2013
000545.SZ,-12.06,1.99,0.05,4.13,12.9,0.0,0.0,11.33,9.97,9.57,-4.85,-1.2,2.06,2,3,,CNY,2013
000546.SZ,-10.52,1.08,0.0,18.48,58.38,0.0,0.0,44.32,44.85,37.86,-7.27,1.77,3.69,2,2,,CNY,2013
000547.KS,1.6,0.22,0.0,-100.0,0.27,26.72,-100.0,8.72,10.6,10.6,1.06,0.48,0.43,1,2,,KRW,2013
000547.SZ,-69.15,1.82,0.76,8.76,23.01,19.02,-16.16,20.02,20.76,19.09,0.51,5.95,5.63,1,1,,CNY,2013
000548.SZ,52.71,1.29,-1.76,-0.73,7.24,1.87,14.93,6.25,2.64,2.66,1.1,2.44,2.51,1,4,,CNY,2013
000550.SZ,13.66,1.31,0.23,0.02,4.14,-10.77,-6.65,5.84,0.08,0.08,3.55,1.78,5.0,2,4,,CNY,2013
000551.SZ,15.5,1.87,0.4,-0.27,7.21,9.75,23.74,7.02,6.65,6.67,4.5,3.78,2.49,0,2,,CNY,2013
000552.SZ,4.12,1.08,0.05,14.34,14.16,23.5,11.28,18.87,19.88,17.38,14.45,7.35,6.67,0,2,,CNY,2013
000553.SZ,74.19,0.86,0.27,16.48,31.97,23.61,-7.8,40.55,35.06,30.1,1.27,2.14,4.8,3,5,,CNY,2013
000554.SZ,192.46,2.89,13.71,-0.02,-2.41,4.25,-2.85,6.33,0.32,0.32,0.56,0.53,0.65,1,2,,CNY,2013
000555.SZ,62.57,1.8,-1.36,4.73,5.03,2.92,-6.91,8.37,13.52,12.91,1.92,2.93,3.61,1,1,,CNY,2013
000557.SZ,31.32,1.36,4.7,8.22,76.58,0.0,46.97,40.2,50.74,46.89,4.14,3.09,2.59,1,4,,CNY,2013
000558.SZ,-247.05,3.86,-3.85,3.79,-27.28,-30.5,0.0,-12.76,2.17,2.09,-2.05,-2.47,-2.09,4,5,,CNY,2013
000559.SZ,22.59,2.04,1.58,4.37,4.71,1.56,0.41,7.82,9.5,9.1,4.27,4.38,5.49,0,0,,CNY,2013
000560.SZ,-435.74,0.61,1.24,17.56,23.16,0.0,0.0,23.69,28.2,23.98,-1.25,2.57,1.84,2,4,,CNY,2013
000561.SZ,70.62,4.08,-6.36,-0.0,8.14,11.8,13.8,11.13,7.91,7.91,2.31,2.81,2.8,0,0,,CNY,2013
000563.SZ,15.77,0.95,0.95,5.19,9.77,-100.0,5.98,21.58,18.54,17.62,3.68,3.73,4.92,0,0,,CNY,2013
000564.SZ,-21.4,2.01,0.69,50.88,-10.72,0.0,0.0,17.13,23.77,15.75,-3.65,-3.61,-1.2,4,4,,CNY,2013
000565.SZ,-155.99,1.88,6.24,10.94,-1.66,5.5,-6.03,5.8,9.03,8.14,3.32,3.76,6.34,0,1,,CNY,2013
