GrPetYear,pe,pb,peg,shr,revenue,opInm,eps,Assets,Equity,bvps,ROtA,5ROtA,10ROtA,bad5y,bad10y,Industrial,cur,old
002684.SZ,0.78,3.64,0.01,7.1,7.73,36.66,23.02,23.05,-16.36,-15.27,,-13.98,-6.24,2.0,2.0,,CNY,2012
002770.SZ,9.51,3.81,0.09,3.85,-0.28,8.67,-5.79,15.89,-10.31,-9.92,,-13.01,-2.5,1.0,2.0,,CNY,2012
0030.HK,121.57,1.89,-1.64,28.17,29.96,6.73,-21.75,13.06,12.06,9.41,,2.74,-10.61,2.0,5.0,,HKD,2012
0043.HK,1.71,0.91,0.14,1.55,2.01,15.2,12.49,14.38,16.95,16.69,,15.46,9.91,2.0,1.0,,USD,2011
0044.HK,0.0,0.0,0.0,0.0,12.85,-17.78,,6.27,1.29,1.29,,,3.79,,1.0,,HKD,2008
0047.HK,-8.68,1.72,0.05,37.33,10.41,,,10.53,0.26,0.19,,3.58,7.13,1.0,1.0,,CNY,2011
0067.HK,0.0,0.0,0.0,-6.98,-100.0,,,-58.03,,,,-2567.94,-81270.23,3.0,1.0,,CNY,2011
0068.HK,-1.03,0.31,-0.01,-0.36,-13.37,,,-19.05,-21.39,-21.47,,-57.23,-28.98,3.0,5.0,,HKD,2012
007630.KS,-0.42,0.03,-0.01,14.59,-17.57,-4.05,-16.71,9.95,11.95,10.43,,-8.92,-13.78,2.0,5.0,,KRW,2011
009275.KS,8.44,0.55,0.03,3.17,4.77,50.35,,1.77,1.9,1.84,,-0.21,-0.43,2.0,5.0,,KRW,2012
01002T.TW,38.34,1.0,-3.99,0.0,1.82,1.29,1.4,6.14,5.84,5.84,,,2.92,,0.0,,TWD,2006
0100.HK,0.0,0.0,,0.15,-1.65,,,4.67,-2.37,-2.37,,0.98,10.57,2.0,2.0,,CNY,2011
0109.HK,11.13,0.22,-0.41,20.59,28.63,-100.0,,23.83,24.05,19.94,,2.18,5.27,0.0,5.0,,HKD,2010
0112.HK,4.83,0.12,-0.05,15.5,33.07,34.85,1.32,41.51,20.33,17.6,,1.61,-0.71,1.0,4.0,,HKD,2010
0116.KL,-8.07,0.8,-0.01,18.24,-100.0,-100.0,-100.0,23.94,25.82,21.83,,-0.36,-11.84,2.0,4.0,,MYR,2011
0133.HK,6.88,0.21,-0.74,-0.15,6.39,6.56,10.72,6.68,5.96,5.97,,2.95,5.93,1.0,3.0,,USD,2012
0141.HK,-1.51,0.1,0.0,3.13,-32.57,,,-12.24,-9.19,-8.91,,-1.61,1.58,2.0,5.0,,HKD,2012
0143.HK,-8.32,1.23,1.55,2.99,23.57,,,23.1,13.87,13.47,,-7.95,-20.0,2.0,3.0,,HKD,2009
015350.KS,4.71,0.97,0.02,0.0,-1.43,-2.1,20.61,7.04,9.49,9.49,,7.99,6.17,0.0,0.0,,KRW,2011
0153.HK,-1.35,-0.08,,14.1,-13.25,-26.12,,13.26,,,,-4.85,9.18,1.0,2.0,,CNY,2012
0154.HK,2.41,0.18,0.02,18.51,31.31,,,30.93,19.89,16.78,,3.75,2.27,0.0,2.0,,HKD,2012
016385.KS,268.72,28.63,1.45,83.39,-1.75,33.58,,-6.87,-1.95,-1.06,,1.45,-4.85,2.0,5.0,,KRW,2012
0163.KL,-1.37,0.46,-0.02,5.31,24.51,59.71,53.41,19.58,31.13,29.56,,15.61,8.64,2.0,6.0,,MYR,2012
0167.HK,-0.48,-0.15,-1.8,0.43,-39.59,14.55,13.39,-24.48,,,,-104.91,-53.98,4.0,4.0,,HKD,2012
0190.HK,0.0,0.0,,2.33,6.09,-2.04,0.5,1.48,1.76,1.72,,2.4,1.64,1.0,3.0,,HKD,2011
0208.HK,0.0,0.0,,0.0,13.23,8.13,7.5,2.63,3.47,3.47,,5.47,2.46,1.0,4.0,,HKD,2011
0231.HK,-0.07,-0.04,-0.0,14.59,-26.97,,,-13.14,,,,-72.59,-33.06,3.0,4.0,,HKD,2011
0236.HK,0.0,0.43,0.0,0.0,-100.0,-100.0,-100.0,-2.55,1.22,1.22,100.0,,,,,,HKD,2013
0238.HK,0.0,0.0,,5.22,-3.95,,,13.93,18.39,17.48,,-9.08,-4.66,1.0,4.0,,CNY,2009
0246.HK,0.0,0.0,0.0,3.43,-100.0,,,-17.38,-16.53,-15.99,,-10.23,-54.23,1.0,3.0,,CNY,2009
0250.HK,-3.69,0.27,0.02,0.0,4.93,7.03,5.99,-0.42,-2.53,-2.53,,4.78,1.94,2.0,4.0,,HKD,2012
0260.HK,-1.2,-0.11,-0.02,4.81,-48.15,-10.69,4.68,-8.23,,,,-21.74,-12.89,3.0,7.0,,HKD,2012
0263.HK,-0.01,-0.01,-0.0,71.76,4.82,8.66,-34.48,-5.3,,,,-55.06,-21.52,2.0,4.0,,HKD,2010
0273.HK,-1.93,0.33,0.01,-30.49,,18.9,76.47,12.19,11.04,15.88,,-8.09,-1.45,2.0,4.0,,HKD,2012
0281.HK,114.0,0.66,-1.32,0.0,-9.58,-20.31,-22.15,4.8,5.61,5.61,,3.7,7.28,1.0,1.0,,HKD,2011
0282.HK,-1.84,1.19,0.09,0.99,-11.5,,35.89,-10.73,-17.46,-17.28,,-26.91,-16.01,3.0,6.0,,HKD,2011
0285.HK,22.12,2.13,-0.42,0.0,22.74,21.59,22.16,14.8,12.6,12.6,,8.51,7.06,0.0,0.0,,CNY,2012
0342.HK,-0.02,0.01,0.0,1.14,7.37,,,1.2,10.97,10.85,,-7.54,1.43,1.0,1.0,,HKD,2011
0356.HK,-43.4,1.64,-0.49,46.81,,4.05,-31.54,41.5,,,,-19.41,-23.06,3.0,4.0,,HKD,2012
0359.HK,-0.54,0.06,0.0,0.26,-6.1,-6.15,,12.8,-0.84,-0.84,,0.0,0.37,2.0,4.0,,CNY,2011
0361.HK,-10.33,0.92,0.49,9.49,4.9,,-6.09,1.72,-0.84,-0.77,,-4.82,-9.12,4.0,4.0,,HKD,2012
0378.HK,-0.39,-0.46,-0.03,13.14,6.29,21.2,-2.71,-9.54,,,,-72.97,-25.33,4.0,4.0,,HKD,2012
0395.HK,-0.86,0.91,0.01,8.98,-11.9,-7.8,-15.95,-21.46,-14.44,-13.25,,-29.18,-37.93,4.0,6.0,,CNY,2012
0408.HK,2.28,0.35,0.05,-0.04,8.02,7.2,8.6,4.28,3.74,3.74,,4.32,3.44,0.0,1.0,,HKD,2012
0416.HK,173.83,0.26,-3.5,13.45,11.98,15.23,-42.93,19.05,23.5,20.71,,-0.16,0.54,2.0,4.0,,CNY,2014
0432.HK,-0.8,0.27,-0.08,-3.03,-9.82,,,4.05,-9.11,-9.39,,-4.24,-3.96,3.0,7.0,,HKD,2012
0449.HK,-0.7,0.19,0.0,3.06,4.81,,,6.69,-0.6,-0.58,,-5.01,-1.56,1.0,2.0,,CNY,2009
0462.HK,0.0,0.0,0.0,-100.0,-13.67,5.57,-100.0,28.92,43.03,43.03,,,-6.04,,2.0,,HKD,2006
0479.HK,-0.76,61.67,-0.01,34.12,-5.26,,34.87,9.61,,,,-55.36,-29.37,2.0,6.0,,HKD,2010
0493.HK,-0.5,0.11,-0.01,4.31,-0.33,23.23,16.52,9.29,4.02,3.86,,-8.92,-3.38,4.0,5.0,,CNY,2012
0506.HK,6.84,1.43,0.63,-0.03,-2.51,8.2,9.35,-0.78,-0.67,-0.67,,7.69,5.55,0.0,2.0,,CNY,2012
0521.HK,2.36,0.15,0.01,19.23,77.98,,,28.84,17.32,14.53,,-0.39,-2.27,2.0,4.0,,HKD,2012
0525.HK,-16.29,0.58,0.23,0.0,3.3,,,1.45,0.52,0.52,,-0.03,1.83,2.0,2.0,,CNY,2012
0530.HK,-0.74,0.1,-0.01,8.59,10.3,,,13.42,14.91,13.73,,-3.11,3.94,2.0,2.0,,HKD,2012
0539.HK,0.0,0.0,0.0,0.01,1.34,-5.96,-2.32,7.46,6.42,6.42,,2.03,2.38,0.0,1.0,,HKD,2011
0555.HK,0.0,0.0,,3.7,-11.21,,,7.35,5.72,5.52,,,0.23,,3.0,,HKD,2008
0574.HK,-1.52,0.38,-0.02,-100.0,-20.89,,-100.0,-0.84,,,,-31.87,-11.14,2.0,4.0,,CNY,2012
0577.HK,-0.02,-0.02,-0.0,59.23,10.79,,,13.52,,,,-33.52,-12.88,1.0,3.0,,HKD,2011
0578.HK,-0.46,-0.6,-0.01,8.1,-7.1,,,-15.38,,,,-13.63,-16.34,2.0,6.0,,HKD,2010
0600.HK,-2.0,0.4,-0.02,-100.0,3.26,4.76,-100.0,-6.53,-8.89,-8.89,,-16.24,-8.62,2.0,3.0,,HKD,2012
0633.HK,-1.04,-0.52,,6.52,27.23,-9.74,,13.82,,,,-24.78,-7.59,1.0,3.0,,CNY,2011
0651.HK,-0.12,-0.01,-0.0,17.67,-26.61,-1.15,-13.19,-16.94,30.4,25.84,,-27.43,-51.02,3.0,8.0,,HKD,2012
0660.HK,170.08,-4.51,-1.91,0.79,5.11,-10.13,,-3.2,,,,-12.89,-15.92,1.0,6.0,,HKD,2011
0666.HK,0.0,0.0,,0.02,20.82,,,1.91,1.84,1.84,,1.53,2.48,1.0,3.0,,HKD,2011
0668.HK,3.01,0.2,-0.06,0.0,10.31,,,-2.06,2.28,2.28,,2.6,0.13,1.0,4.0,,HKD,2012
0670.HK,-2.47,1.41,1.03,4.53,-2.66,,,9.87,9.07,8.67,,-1.77,0.52,2.0,2.0,,CNY,2012
0678.HK,-0.26,0.16,0.0,0.01,-3.71,,,8.89,3.2,3.2,,-10.38,1.82,1.0,5.0,,USD,2011
0680.HK,-0.95,0.84,0.0,0.0,17.56,16.54,18.68,15.58,-2.02,-2.02,,-1.6,0.79,2.0,3.0,,HKD,2011
0699.HK,-2.03,2.11,0.0,-1.51,12.4,,54.17,10.11,77.23,78.42,,-11.14,-1.59,1.0,2.0,,CNY,2013
0704.HK,-2.67,-0.58,-0.03,10.22,-3.06,,-31.66,-0.88,,,,-4.5,-10.43,1.0,3.0,,HKD,2012
0706.HK,-0.74,0.23,0.06,18.1,16.89,3.57,-8.53,11.56,9.2,7.79,,-24.39,-16.54,1.0,6.0,,HKD,2009
0708.HK,-3.34,-4.24,0.07,2.63,50.13,,,94.0,,,,-6.34,13.1,3.0,6.0,,CNY,2011
0709.HK,22.18,1.75,0.08,0.22,-5.59,-13.84,-15.39,-1.0,-2.43,-2.42,,5.31,10.31,1.0,2.0,,HKD,2012
0729.HK,0.0,0.0,,32.48,40.93,,30.9,41.21,,,,-28.06,-20.69,2.0,4.0,,HKD,2010
0746.HK,3.02,0.7,0.02,0.38,14.61,15.43,15.1,9.05,12.75,12.7,,12.84,9.92,0.0,1.0,,HKD,2012
0766.HK,-3.13,0.13,-0.04,10.98,-3.67,,-18.42,-12.65,-14.0,-12.61,,-10.4,-41.56,3.0,3.0,,HKD,2011
0787.HK,-0.04,0.11,0.02,2.91,-14.68,,,-8.79,-28.8,-27.98,,-40.95,-12.45,3.0,3.0,,USD,2013
0797.HK,57.93,3.38,6.34,-0.59,1.9,-5.13,-8.73,19.0,34.06,34.26,,1.85,8.84,1.0,3.0,,CNY,2015
0803.HK,-0.1,0.28,-0.0,8.0,-14.68,,,-1.0,-30.29,-28.05,,-14.27,-7.5,3.0,4.0,,HKD,2011
0813.HK,0.73,0.15,0.07,-0.11,20.1,11.86,14.71,19.66,13.17,13.18,,3.42,3.56,0.0,0.0,,CNY,2011
0844.HK,-21.1,1.11,0.09,2.97,-1.09,,,4.1,1.78,1.72,,-1.7,-0.68,3.0,6.0,,CNY,2012
0859.HK,0.53,0.18,0.0,5.59,-0.8,-31.32,-3.62,-9.32,-1.71,-1.62,,2.67,4.63,3.0,5.0,,HKD,2012
0860.HK,-3.45,0.34,-0.47,28.13,-5.97,,,4.75,2.56,2.0,,-12.11,-22.06,3.0,6.0,,HKD,2012
0872.HK,-0.21,-0.41,0.0,16.7,0.5,88.2,15.98,-0.26,,,,-50.27,-32.18,3.0,5.0,,HKD,2012
0884.HK,0.49,0.14,0.75,6.64,33.25,23.44,15.21,36.19,23.54,22.08,,2.78,3.32,0.0,0.0,,CNY,2012
0885.HK,-0.07,-0.16,-0.0,48.27,,22.32,-16.12,5.42,,,,-101.74,-22.95,2.0,2.0,,HKD,2010
0886.HK,-3.15,0.18,-0.03,2.38,-12.03,,,-2.68,-16.84,-16.45,,-6.41,-13.08,3.0,3.0,,HKD,2012
0891.HK,3.0,0.04,0.03,9.24,-0.27,-9.84,-26.37,6.22,6.6,6.04,,-3.85,-8.17,1.0,4.0,,HKD,2010
0904.HK,-0.02,-0.09,-0.0,29.3,-16.7,,,-17.28,,,,-69.66,-39.56,3.0,6.0,,CNY,2012
0908.HK,0.0,0.0,,2.75,51.3,47.09,31.76,29.96,14.2,13.82,,2.4,2.27,0.0,0.0,,CNY,2011
0935.HK,22.02,1.31,-0.95,1.06,-0.08,-3.27,-5.93,3.33,2.33,2.31,,5.19,6.45,0.0,0.0,,HKD,2012
0943.HK,-1.77,0.11,-0.02,-100.0,-1.51,4.32,-100.0,27.36,,,,-0.57,-5.68,3.0,6.0,,HKD,2012
0967.HK,0.0,0.0,0.0,1.74,15.71,13.31,,27.51,12.26,12.05,,-4.5,2.39,1.0,1.0,,CNY,2009
0996.HK,-0.02,0.08,0.0,37.73,,33.72,15.14,3.56,-14.1,-10.24,,-18.62,-8.17,3.0,4.0,,HKD,2011
0HV.DE,61.79,1.77,0.06,2.81,-2.07,-0.87,-1.52,2.34,-5.06,-4.92,,11.73,29.02,1.0,3.0,,USD,2016
0PP.DE,0.0,0.0,,11.87,14.21,34.56,19.8,14.68,,,,-71.31,-53.75,2.0,6.0,,USD,2010
1006.HK,0.0,0.0,,0.94,7.72,9.25,8.44,12.56,12.08,11.97,,9.74,9.79,0.0,0.0,,CNY,2010
101060.KS,-3.83,0.49,-0.11,-0.71,-11.11,,,-1.58,-1.41,-1.42,,-8.13,-1.77,2.0,2.0,,KRW,2011
1041.HK,-1.13,0.11,0.0,42.4,3.8,-20.67,-43.16,0.66,,,,-9.1,-13.27,1.0,3.0,,HKD,2009
1043.HK,0.82,0.08,-0.05,0.25,3.22,3.63,-0.74,5.92,5.29,5.28,,3.21,2.1,0.0,2.0,,CNY,2009
1069.HK,-0.41,0.83,-0.02,19.89,-30.87,,,19.73,4.6,3.84,,-38.67,-20.8,2.0,5.0,,CNY,2011
1076.HK,-0.28,-0.05,-0.0,13.04,-100.0,,,40.26,,,,-101.84,-98.89,1.0,2.0,,HKD,2012
1087.HK,-1.26,0.09,-0.02,9.29,-14.25,30.57,-18.37,-13.13,-11.67,-10.68,,-7.82,-5.48,3.0,7.0,,CNY,2012
1089.HK,0.0,0.0,,7.51,9.4,3.75,,19.85,28.43,26.44,,3.61,2.35,1.0,4.0,,USD,2010
1091.HK,3.64,0.55,0.02,1.4,17.58,,,1.85,-1.67,-1.65,,-0.0,-1.71,2.0,6.0,,HKD,2012
1096.HK,-0.15,-0.07,-0.01,7.51,-15.87,,,15.14,,,,-25.31,-16.94,1.0,4.0,,CNY,2010
1103.HK,-0.11,-0.06,0.0,13.08,-15.84,,,-48.2,,,,-3554.93,-1580.52,1.0,1.0,,CNY,2012
1107.HK,0.25,0.04,-0.0,-100.0,21.63,,-100.0,28.04,12.88,12.88,,0.22,1.85,1.0,1.0,,CNY,2012
1111.HK,13.73,0.73,-0.62,8.75,10.96,15.28,2.47,13.01,16.88,15.52,,0.82,1.07,0.0,0.0,,HKD,2011
1116.HK,0.0,0.0,0.0,-100.0,-6.39,-5.17,-100.0,-2.18,3.48,3.48,,-2.14,-1.33,1.0,2.0,,CNY,2007
1126.HK,13.29,0.96,-0.48,0.08,15.1,6.49,4.81,16.21,13.77,13.76,,9.81,11.98,1.0,1.0,,HKD,2012
1131.HK,0.5,0.08,0.0,17.55,31.77,,,48.56,41.69,35.47,,6.91,4.56,0.0,1.0,,HKD,2010
1145.HK,0.41,0.16,0.01,13.84,-7.03,-3.52,,-4.0,-1.07,-0.94,,7.27,-8.25,3.0,4.0,,USD,2012
1151.HK,0.0,0.0,,0.11,0.32,-8.59,-10.25,1.56,0.83,0.83,,3.85,2.57,0.0,2.0,,USD,2010
1153.HK,1.54,0.26,0.12,0.48,40.63,52.1,51.24,62.46,,,,7.06,7.73,0.0,0.0,,CNY,2017
1158.HK,0.0,0.0,,0.0,0.97,4.47,-2.85,32.1,42.53,42.53,,5.97,6.84,1.0,2.0,,CNY,2015
1169.HK,0.0,0.0,,1.91,8.7,21.79,13.24,19.97,31.11,30.53,,8.5,8.73,0.0,0.0,,CNY,2010
1175.HK,-0.95,0.15,-0.19,46.15,29.32,-8.51,-41.3,7.69,,,,-8.12,73.14,2.0,7.0,,CNY,2011
1178.HK,0.0,0.0,,22.02,-6.94,10.43,-12.09,8.15,13.32,10.91,,-45.98,-27.87,1.0,5.0,,HKD,2010
1185.HK,-5.24,-0.23,-0.07,1.07,-40.61,34.22,,-23.84,,,,-55.06,-24.43,3.0,4.0,,HKD,2012
1188.HK,-10.11,1.27,-0.52,9.89,-26.88,-10.62,-15.78,7.06,6.36,5.79,,-32.55,-29.43,2.0,7.0,,HKD,2012
1191.HK,0.0,0.0,0.0,-100.0,-18.3,6.0,-100.0,-18.35,,,,-64.94,-73.25,2.0,4.0,,HKD,2011
1192.HK,0.24,-0.45,0.0,21.21,-20.12,-16.09,,-31.13,,,,156.4,50.04,1.0,4.0,,HKD,2010
1194.HK,-0.04,0.02,0.0,45.44,2.95,-17.57,,5.65,2.39,1.65,,-12.59,-5.66,1.0,5.0,,HKD,2011
1207.HK,8.9,0.06,0.09,16.1,-12.86,-14.9,-34.07,-5.59,-5.91,-5.09,,-5.22,-2.72,2.0,3.0,,CNY,2012
1210.HK,-0.31,-0.25,0.01,0.44,-15.9,,,-15.53,,,,-31.47,-18.89,4.0,7.0,,CNY,2012
1212.HK,-5.73,2.82,0.01,-1.18,-9.32,,,-0.75,-14.15,-14.32,,2.7,6.96,2.0,2.0,,HKD,2012
1227.HK,-0.97,-0.56,-0.01,42.39,-100.0,,,-12.22,,,,-83.06,-99.21,1.0,5.0,,HKD,2010
1248.HK,0.0,0.0,,0.0,28.55,72.05,74.6,48.06,40.92,40.92,,16.79,18.21,1.0,1.0,,CNY,2017
1249.HK,0.0,0.0,,8.81,12.05,16.44,7.18,6.72,29.55,27.15,,4.8,5.02,0.0,0.0,,HKD,2012
1275.HK,-3.27,1.05,0.0,-20.01,-15.12,-2.47,,4.68,5.17,6.46,,-4.26,-1.53,1.0,4.0,,CNY,2012
1296.HK,-4.95,0.97,0.0,0.0,-6.34,,,-6.84,-7.21,-7.21,,-1.64,-0.3,2.0,3.0,,CNY,2012
131390.KS,0.0,0.0,0.0,0.44,15.7,12.94,15.46,23.22,14.32,14.26,,7.69,5.7,0.0,2.0,,KRW,2012
1316.HK,12.37,0.75,,0.06,4.99,3.58,9.06,10.95,31.09,31.08,,8.22,9.53,0.0,2.0,,USD,2012
1317.HK,0.0,0.0,0.0,-100.0,9.03,3.18,-100.0,20.04,16.21,16.21,,3.61,5.17,1.0,3.0,,CNY,2013
1329.HK,-3.13,0.15,-0.11,19.06,21.11,39.14,,68.49,51.46,43.22,,-1.32,1.05,4.0,4.0,,CNY,2012
1333.HK,5.91,0.3,-0.16,2.99,7.88,7.4,2.51,18.5,9.93,9.64,,2.67,3.93,0.0,1.0,,CNY,2011
1337.HK,72.57,5.79,0.12,-0.1,26.34,15.26,11.41,30.61,29.5,29.53,,-4.12,-6.78,2.0,5.0,,USD,2014
1352.T,12.78,1.46,0.17,-0.0,7.45,12.78,16.67,12.56,3.21,3.21,,1.29,1.29,0.0,1.0,,JPY,2012
1365.HK,-0.04,-0.07,0.0,2.84,-6.72,,,-8.34,,,,-78.19,-20.58,1.0,2.0,,CNY,2013
1367.HK,-5.48,-0.99,-0.12,3.66,-38.84,,,-1.15,,,,-43.57,-21.76,4.0,5.0,,HKD,2013
1371.HK,-0.24,-0.46,-0.0,10.79,-16.11,,,-12.96,,,,-60.64,-30.82,3.0,5.0,,HKD,2012
138250.KS,-12.97,1.23,0.02,-0.23,6.53,,,16.4,6.59,6.6,,0.22,7.4,2.0,3.0,,KRW,2013
1386.HK,-1.12,-0.62,0.08,1.35,-31.89,,,-9.29,,,,-58.64,-40.58,2.0,6.0,,HKD,2011
1387.HK,21.67,0.39,-4.95,16.46,10.89,-15.17,-25.55,-6.75,-4.94,-4.25,,0.03,-3.43,1.0,6.0,,CNY,2012
1413.T,68.76,10.37,-0.76,25.85,9.96,2.19,-16.95,13.24,12.43,9.88,,4.27,5.68,0.0,0.0,,JPY,2012
1430.HK,37.13,1.3,-1.41,13.27,8.58,-7.11,-19.73,10.69,28.31,24.99,,4.06,7.27,0.0,1.0,,CNY,2013
1439.HK,-0.13,-0.09,-0.0,-100.0,-4.66,,-100.0,5.21,,,,-73.58,-28.59,4.0,4.0,,CNY,2012
1448.T,122.66,1.56,-1.83,-0.25,-4.88,-94.04,12.16,-6.16,-0.31,-0.31,,0.69,0.69,1.0,1.0,,JPY,2019
145270.KS,14.73,0.49,4.44,5.21,29.99,72.3,45.41,23.82,13.66,12.98,,3.43,3.18,1.0,0.0,,KRW,2012
1492.HK,0.0,0.0,,11.89,17.79,13.59,-18.41,17.23,10.72,9.58,,-0.21,1.15,2.0,3.0,,CNY,2014
1507.TW,32.08,2.23,-0.78,-0.01,-0.67,-5.19,-6.75,2.46,0.39,0.39,,4.03,4.96,0.0,0.0,,TWD,2012
153360.KS,0.97,1.1,0.0,1.99,4.66,,,-4.87,-6.07,-5.95,,22.05,5.31,3.0,3.0,,KRW,2012
1533.HK,249.42,1.38,0.64,8.99,9.5,5.61,-2.94,12.95,18.22,16.72,,1.95,3.52,1.0,1.0,,CNY,2013
1555.HK,-0.33,-0.03,-0.0,2.34,-12.78,-11.24,,-14.12,,,,-42.42,-24.28,2.0,6.0,,CNY,2012
1561.HK,-0.94,2.8,-0.02,7.01,9.22,,,17.65,-10.98,-10.26,,-29.49,-12.22,2.0,2.0,,HKD,2014
1580.HK,-0.98,2.32,-0.02,3.89,0.49,,,-0.29,1.92,1.85,,-39.94,-9.77,2.0,3.0,,CNY,2013
1583.HK,-8.86,0.57,0.02,5.95,-4.85,,,10.67,12.54,11.83,,1.53,4.4,1.0,3.0,,CNY,2013
1589.HK,521.09,1.16,-8.96,3.69,43.98,8.36,-25.37,37.37,48.5,46.78,,1.2,4.49,2.0,3.0,,CNY,2013
1592.TW,-0.19,0.31,0.0,3.75,1.18,,,-1.36,-13.2,-12.72,,-13.88,-2.31,1.0,3.0,,TWD,2013
1616.HK,-0.7,0.22,-0.01,-100.0,-21.73,,-100.0,-3.08,-3.19,-3.19,,-25.61,-11.65,2.0,4.0,,CNY,2012
1622.HK,1.73,0.55,0.02,1.17,33.15,30.95,33.85,35.14,34.56,34.16,,2.41,3.19,0.0,1.0,,CNY,2012
1636.HK,-1.48,0.08,-0.02,4.73,19.85,2.39,,23.7,21.41,20.44,,-2.91,-1.82,2.0,5.0,,CNY,2012
1639.HK,21.12,1.7,1.98,11.8,16.43,16.09,4.52,20.31,23.58,21.09,,5.02,4.3,0.0,1.0,,HKD,2012
1665.HK,11.38,2.09,7.55,-0.03,31.41,38.04,41.44,39.69,47.25,47.26,,19.38,17.6,0.0,0.0,,MYR,2014
1676.HK,-1.2,0.33,0.01,0.14,-11.59,,,17.46,27.61,27.57,,-2.31,11.21,2.0,2.0,,CNY,2014
1678.HK,-0.55,0.04,-0.03,7.01,-26.52,,,10.92,15.97,14.92,,-6.75,4.39,1.0,3.0,,CNY,2012
1699.HK,6.24,0.1,-0.08,5.17,2.29,-13.36,-24.75,18.48,15.66,14.89,,-0.84,0.68,1.0,4.0,,CNY,2011
172580.KS,-27.85,1.22,0.22,0.02,4.59,22.17,2.6,-7.91,-9.7,-9.69,,5.72,-1.68,1.0,3.0,,KRW,2013
1743.HK,0.0,0.0,,0.12,2.47,13.01,17.16,17.7,28.29,28.26,,11.78,13.83,0.0,2.0,,CNY,2015
1777.HK,0.61,0.07,0.04,1.57,16.29,10.56,3.0,21.63,10.7,10.54,,1.54,2.27,0.0,0.0,,CNY,2011
1781.HK,-1.14,-0.51,-0.02,0.0,-35.64,,,-46.48,,,,-460.36,-193.5,2.0,2.0,,HKD,2014
